Unnamed: 0,PAPER_ID,JOURNAL_ID,volume,year
0.0,ccca203382e5dd198c089a0f1d7af7bef0f694e9,0cc484fd-832a-417b-9c05-01adc7f7c74f,1,2020
1.0,85328b4a8132bf4299f8cd7f8e79e850d561c8fc,40d6d72b-fb7c-4fa0-98c0-2f72f340fed4,1,2022
2.0,bf5a42b53d156c0811e88e60d2a49f9fd9367cae,50d67c12-b49a-4957-963e-92cfbb2a86a2,90 10,2012
3.0,38f5b53b49be555430f33b8363910191a3df1d14,100ffd12-b334-4f02-826b-8ac408e7df49,1,2022
4.0,cc017a62c605a0749e35a1264a46d62e78fb68b7,2f5d0e8a-faad-4f10-b323-2b2e3c439a78,1,2019
5.0,1bc34cb22131554ba18f6ba9e6ede5beb42939f1,b4ddf99b-89f6-42b4-8bbc-9bde693530cf,35,2015
6.0,41d4e093d5f7ed5aae1aaa9eb6c037742e4cf9b1,d60da343-ab92-4310-b3d7-2c0860287a9d,9,2022
7.0,3a74bed911ccf213d9595b2b02a5b1c4ac4dcaf8,5faaa538-f6a0-4867-b6f9-c0dedc4fd2de,33,2017
8.0,1597449a7f64b6bd24639b4deab96c8a8c184177,69c55941-42d0-4d07-bc3f-9a98c51b8fe7,94,2017
9.0,cbad0923db89f23febcbd6192ff4149289ff2ad9,d60da343-ab92-4310-b3d7-2c0860287a9d,8,2021
10.0,fe44200fed05f9a7c656f2245deded8fd5f5e1e6,d60da343-ab92-4310-b3d7-2c0860287a9d,7,2020
11.0,73d4accea441aae2373828a8dc2175aa2759c38f,5dc79bde-acf4-4b60-b7ad-5bb769def869,1,2021
12.0,4e13a8e8ba8d33e15ed037bfca7c651047533990,85a69b03-d2bf-4387-bc2f-98b2fe823b23,13,2019
13.0,9d6cbac04c498b424dfaa5ce82ac201a180c1502,fa31ff53-6717-46c5-934d-9f21c27f96ba,5,2021
14.0,17fca92ffd527c78c5dc6c7953e96671743807fa,fa8d1257-1eac-4ab9-a703-8b639ab83c3d,1,2019
15.0,b34fc78de28be598e21118d7cb9d84d63374addc,2633f5b2-c15c-49fe-80f5-07523e770c26,8,2020
16.0,48fc9c42522184c652742255fdf31f7b9ed7ebae,b08588b2-9ba8-4469-a6d4-f0b88977b64f,13,2020
17.0,b6b7fea1846e85ac1e3c7e3adda6e65b127d0368,228761ec-c40a-479b-8309-9dcbe9851bcd,9,2020
18.0,2660dcf5bd16d14862a7bbb241fa4d85ae34327f,bc2801b8-b059-4ee4-be9a-cd1943f45bf3,47,2015
19.0,bc6dbcaf4d2c76e618ae3f1043fd7276cbdf7f9b,d60da343-ab92-4310-b3d7-2c0860287a9d,6,2019
20.0,9e3816be8cf4821d74e258de10ee471382936a30,9e995b6d-f30b-4ab4-a13b-3dc2cc992f47,25,2019
21.0,247dec05283a1a521f99253a6cca6a5858cac0d2,fa8d1257-1eac-4ab9-a703-8b639ab83c3d,1,2019
22.0,391a5f286f814d852dddcab1b2b68e5c1af6c79e,c6840156-ee10-4d78-8832-7f8909811576,26,2016
23.0,b080d072cfde697180db3234da08903c092e72c3,ccd6a358-7326-42a7-95e5-bd515c9b5e6c,1,2019
