,AUTHOR_ID,PAPER_ID,corresponding_author
0,144605904,91b63db746becca15090963a8990dfe2b5103799,True
1,2145774899,ccca203382e5dd198c089a0f1d7af7bef0f694e9,True
2,2149052058,ccca203382e5dd198c089a0f1d7af7bef0f694e9,False
3,2153911296,ccca203382e5dd198c089a0f1d7af7bef0f694e9,False
4,40451574,ccca203382e5dd198c089a0f1d7af7bef0f694e9,False
5,143915524,ccca203382e5dd198c089a0f1d7af7bef0f694e9,False
6,4098270,ccca203382e5dd198c089a0f1d7af7bef0f694e9,False
7,144304984,ccca203382e5dd198c089a0f1d7af7bef0f694e9,False
8,47666658,f117c6f12d067bd66dad40996b3931c069daa2da,True
9,145802082,f117c6f12d067bd66dad40996b3931c069daa2da,False
10,1764975,f117c6f12d067bd66dad40996b3931c069daa2da,False
11,2269971203,85328b4a8132bf4299f8cd7f8e79e850d561c8fc,True
12,2261850659,85328b4a8132bf4299f8cd7f8e79e850d561c8fc,False
13,3132693,bf5a42b53d156c0811e88e60d2a49f9fd9367cae,True
14,2841157,bf5a42b53d156c0811e88e60d2a49f9fd9367cae,False
15,2150744,38f5b53b49be555430f33b8363910191a3df1d14,True
16,2285074747,38f5b53b49be555430f33b8363910191a3df1d14,False
17,46251839,cc017a62c605a0749e35a1264a46d62e78fb68b7,True
18,2237403667,cc017a62c605a0749e35a1264a46d62e78fb68b7,False
19,2283455003,cc017a62c605a0749e35a1264a46d62e78fb68b7,False
20,2855934,4b06c7e29280b1c6bc05c9df39023b48fef02c93,True
21,102471415,4b06c7e29280b1c6bc05c9df39023b48fef02c93,False
22,2087066452,4b06c7e29280b1c6bc05c9df39023b48fef02c93,False
23,133551208,4b06c7e29280b1c6bc05c9df39023b48fef02c93,False
24,2125031571,4b06c7e29280b1c6bc05c9df39023b48fef02c93,False
25,48667025,4b06c7e29280b1c6bc05c9df39023b48fef02c93,False
26,1764455,1bc34cb22131554ba18f6ba9e6ede5beb42939f1,True
27,39060992,1bc34cb22131554ba18f6ba9e6ede5beb42939f1,False
28,2416504,41d4e093d5f7ed5aae1aaa9eb6c037742e4cf9b1,True
29,2079538975,41d4e093d5f7ed5aae1aaa9eb6c037742e4cf9b1,False
30,2289710033,bf69c98fca9a9f6c1cde871beddbcdc668b77771,True
31,34859953,94deb62af3054c49e7d80bd7eb3ed5efe990fc0b,True
32,2241838,94deb62af3054c49e7d80bd7eb3ed5efe990fc0b,False
33,1903243,94deb62af3054c49e7d80bd7eb3ed5efe990fc0b,False
34,2146248481,94deb62af3054c49e7d80bd7eb3ed5efe990fc0b,False
35,143769760,94deb62af3054c49e7d80bd7eb3ed5efe990fc0b,False
36,38818867,4e6bba65f7636a655c778a3e54cc58e148468963,True
37,48024382,4e6bba65f7636a655c778a3e54cc58e148468963,False
38,120550117,3a74bed911ccf213d9595b2b02a5b1c4ac4dcaf8,True
39,50556355,1597449a7f64b6bd24639b4deab96c8a8c184177,True
40,49776606,1597449a7f64b6bd24639b4deab96c8a8c184177,False
41,29011153,1597449a7f64b6bd24639b4deab96c8a8c184177,False
42,47474337,1597449a7f64b6bd24639b4deab96c8a8c184177,False
43,2153527172,1597449a7f64b6bd24639b4deab96c8a8c184177,False
44,50470670,1597449a7f64b6bd24639b4deab96c8a8c184177,False
45,9139705,cbad0923db89f23febcbd6192ff4149289ff2ad9,True
46,1399003993,a0d18dddaa995b126ad373e33767b9b881d16b2f,True
47,1698784963,a0d18dddaa995b126ad373e33767b9b881d16b2f,False
48,2113276011,a0d18dddaa995b126ad373e33767b9b881d16b2f,False
49,89377594,a0d18dddaa995b126ad373e33767b9b881d16b2f,False
50,1792351,a0d18dddaa995b126ad373e33767b9b881d16b2f,False
51,119723024,fe44200fed05f9a7c656f2245deded8fd5f5e1e6,True
52,1725285,fe44200fed05f9a7c656f2245deded8fd5f5e1e6,False
53,2275848903,73d4accea441aae2373828a8dc2175aa2759c38f,True
54,102309470,73d4accea441aae2373828a8dc2175aa2759c38f,False
55,2240347692,73d4accea441aae2373828a8dc2175aa2759c38f,False
56,39466716,4e13a8e8ba8d33e15ed037bfca7c651047533990,True
57,2055791334,4e13a8e8ba8d33e15ed037bfca7c651047533990,False
58,48724197,9d6cbac04c498b424dfaa5ce82ac201a180c1502,True
59,1763674,8894d431a768a35dc7ca4d762ebdba4f407b978c,True
60,2865038,8894d431a768a35dc7ca4d762ebdba4f407b978c,False
61,33582313,8894d431a768a35dc7ca4d762ebdba4f407b978c,False
62,1390051934,8894d431a768a35dc7ca4d762ebdba4f407b978c,False
63,31411209,8894d431a768a35dc7ca4d762ebdba4f407b978c,False
64,1605658912,8894d431a768a35dc7ca4d762ebdba4f407b978c,False
65,1402417041,8894d431a768a35dc7ca4d762ebdba4f407b978c,False
66,4007395,8894d431a768a35dc7ca4d762ebdba4f407b978c,False
67,13084208,8894d431a768a35dc7ca4d762ebdba4f407b978c,False
68,39268701,8894d431a768a35dc7ca4d762ebdba4f407b978c,False
69,151067942,8894d431a768a35dc7ca4d762ebdba4f407b978c,False
70,14948487,8894d431a768a35dc7ca4d762ebdba4f407b978c,False
71,46994990,8894d431a768a35dc7ca4d762ebdba4f407b978c,False
72,48576550,8894d431a768a35dc7ca4d762ebdba4f407b978c,False
73,49701119,8894d431a768a35dc7ca4d762ebdba4f407b978c,False
74,1785886,8894d431a768a35dc7ca4d762ebdba4f407b978c,False
75,144252544,8894d431a768a35dc7ca4d762ebdba4f407b978c,False
76,2167765,8894d431a768a35dc7ca4d762ebdba4f407b978c,False
77,2762241,8894d431a768a35dc7ca4d762ebdba4f407b978c,False
78,91596213,8894d431a768a35dc7ca4d762ebdba4f407b978c,False
79,3245770,8894d431a768a35dc7ca4d762ebdba4f407b978c,False
80,2143716975,456c011594ecacdd24298a161787389ccbe4b88b,True
81,47795877,456c011594ecacdd24298a161787389ccbe4b88b,False
82,2118913820,456c011594ecacdd24298a161787389ccbe4b88b,False
83,145165793,456c011594ecacdd24298a161787389ccbe4b88b,False
84,2108122564,456c011594ecacdd24298a161787389ccbe4b88b,False
85,2424691,17fca92ffd527c78c5dc6c7953e96671743807fa,True
