,ID,name,city,edition,year
0,38e1b942-a62d-4d74-8e5d-677db6ed425f,Symposium on Networked Systems Design and Implementation,Port Douglas,8,2000
1,07ba6a02-fa13-4c5f-b428-795730d75e53,Big Data,Kingborough,7,2000
2,99e7c820-557f-47b2-80c8-1dd5c2fcbb55,EUROCON Conference,East John,7,2000
3,1d72e5bc-120e-47cd-8320-4b474c2821da,IEEE Conference of Russian Young Researchers in Electrical and Electronic Engineering,Bernardshire,3,2000
4,050184ec-becd-4b2d-abef-50c42f1093f4,International Conference on Big Data and Education,Laurenfurt,10,2000
5,62a0df02-79f9-4bba-8524-48ec1a6d0185,International Conference on Big Data Research,Doyleton,2,2000
6,5bc61c59-1b2b-4335-a22e-fdfe00f75583,International Conference on Big Data Computing and Communications,Jordanhaven,2,2000
7,f9af8000-42f8-410d-a622-e8811e41660a,Conference on Uncertainty in Artificial Intelligence,Lake Rebecca,3,2000
8,60b80922-affe-43da-9644-a58a8d98c1de,International Conference on Collaboration Technologies and Systems,Martinton,8,2000
9,7dc964d5-49e6-4c37-b1c4-a7f0de1fa425,International Conference on Web and Social Media,Lopezville,6,2000
10,a0edb93b-1e95-4128-a295-6b1659149cef,Knowledge Discovery and Data Mining,Lake Michael,4,2000
11,b7aa40ac-729b-49d6-9064-4d1a9480e9a9,International Symposium on High-Performance Computer Architecture,Port Ricky,3,2000
12,deedf64a-dd5c-4b33-b345-ff83bfb93d71,International Symposium on Computer Architecture,Nancyside,2,2000
13,09c484a4-ad84-4dc0-8aa1-be2cbc6ae347,ASE BigData & SocialInformatics,Lake Kim,5,2000
14,0dc0e794-53db-401d-bd8f-8da9165b2865,International Conferences on Contemporary Computing and Informatics,Amyfurt,6,2000
15,d9720b90-d60b-48bc-9df8-87a30b9a60dd,Neural Information Processing Systems,Davidtown,9,2000
16,05860b0f-ff70-48a0-a93a-71c4be979650,Cyber ..,Dennisberg,9,2000
17,fc0a208c-acb7-47dc-a0d4-af8190e21d29,International Conference on Machine Learning,Bonillaborough,8,2000
